account_id,account_name,customer_key,industry,vertical,billing_street,billing_city,billing_state,billing_postal_code,account_type,annual_revenue,employees,created_date
ACC000001,OrbitView Media 1,1,Media & Broadcast,Broadcast & Video,1 Satellite Way,Paris,FR,10000,Partner,60110000.0,500,2022-01-01
ACC000002,SkyLink Airlines 2,2,Aviation,Aviation,1 Satellite Way,Dubai,AE,10001,Customer,115490000.0,50,2022-01-01
ACC000003,BlueWave Cruises 3,3,Maritime,Maritime,1 Satellite Way,Athens,GR,10002,Partner,371630000.0,3000,2022-01-01
ACC000004,RuralConnect ISP 4,4,Telecom/MNO,Telecom Backhaul,1 Satellite Way,Nairobi,KE,10003,Customer,297290000.0,50,2022-01-01
ACC000005,Nordic Defence Agency 5,5,Government,Government & Defence,1 Satellite Way,Oslo,NO,10004,Customer,51380000.0,200,2022-01-01
ACC000006,Andes Community Net 6,6,Enterprise/Community,Enterprise & Community,1 Satellite Way,Lima,PE,10005,Partner,303000000.0,3000,2022-01-01
ACC000007,OrbitView Media 7,7,Media & Broadcast,Broadcast & Video,1 Satellite Way,Paris,FR,10006,Customer,359430000.0,3000,2022-01-01
ACC000008,SkyLink Airlines 8,8,Aviation,Aviation,1 Satellite Way,Dubai,AE,10007,Prospect,114120000.0,3000,2022-01-01
ACC000009,BlueWave Cruises 9,9,Maritime,Maritime,1 Satellite Way,Athens,GR,10008,Prospect,405670000.0,50,2022-01-01
ACC000010,RuralConnect ISP 10,10,Telecom/MNO,Telecom Backhaul,1 Satellite Way,Nairobi,KE,10009,Customer,350580000.0,500,2022-01-01
ACC000011,Nordic Defence Agency 11,11,Government,Government & Defence,1 Satellite Way,Oslo,NO,10010,Prospect,81960000.0,500,2022-01-01
ACC000012,Andes Community Net 12,12,Enterprise/Community,Enterprise & Community,1 Satellite Way,Lima,PE,10011,Customer,50910000.0,50,2022-01-01
ACC000013,OrbitView Media 13,13,Media & Broadcast,Broadcast & Video,1 Satellite Way,Paris,FR,10012,Prospect,424510000.0,3000,2022-01-01
ACC000014,SkyLink Airlines 14,14,Aviation,Aviation,1 Satellite Way,Dubai,AE,10013,Prospect,404530000.0,1200,2022-01-01
ACC000015,BlueWave Cruises 15,15,Maritime,Maritime,1 Satellite Way,Athens,GR,10014,Partner,66790000.00000001,1200,2022-01-01
ACC000016,RuralConnect ISP 16,16,Telecom/MNO,Telecom Backhaul,1 Satellite Way,Nairobi,KE,10015,Customer,278260000.0,3000,2022-01-01
ACC000017,Nordic Defence Agency 17,17,Government,Government & Defence,1 Satellite Way,Oslo,NO,10016,Prospect,290790000.0,50,2022-01-01
ACC000018,Andes Community Net 18,18,Enterprise/Community,Enterprise & Community,1 Satellite Way,Lima,PE,10017,Customer,332330000.0,500,2022-01-01
ACC000019,OrbitView Media 19,19,Media & Broadcast,Broadcast & Video,1 Satellite Way,Paris,FR,10018,Customer,428380000.0,50,2022-01-01
ACC000020,SkyLink Airlines 20,20,Aviation,Aviation,1 Satellite Way,Dubai,AE,10019,Prospect,142600000.0,500,2022-01-01
ACC000021,BlueWave Cruises 21,21,Maritime,Maritime,1 Satellite Way,Athens,GR,10020,Customer,188240000.0,200,2022-01-01
ACC000022,RuralConnect ISP 22,22,Telecom/MNO,Telecom Backhaul,1 Satellite Way,Nairobi,KE,10021,Partner,137150000.0,50,2022-01-01
ACC000023,Nordic Defence Agency 23,23,Government,Government & Defence,1 Satellite Way,Oslo,NO,10022,Partner,319310000.0,3000,2022-01-01
ACC000024,Andes Community Net 24,24,Enterprise/Community,Enterprise & Community,1 Satellite Way,Lima,PE,10023,Partner,126180000.0,1200,2022-01-01
ACC000025,OrbitView Media 25,25,Media & Broadcast,Broadcast & Video,1 Satellite Way,Paris,FR,10024,Prospect,138620000.0,3000,2022-01-01
ACC000026,SkyLink Airlines 26,26,Aviation,Aviation,1 Satellite Way,Dubai,AE,10025,Customer,343880000.0,50,2022-01-01
ACC000027,BlueWave Cruises 27,27,Maritime,Maritime,1 Satellite Way,Athens,GR,10026,Customer,411790000.0,500,2022-01-01
ACC000028,RuralConnect ISP 28,28,Telecom/MNO,Telecom Backhaul,1 Satellite Way,Nairobi,KE,10027,Prospect,137530000.0,200,2022-01-01
ACC000029,Nordic Defence Agency 29,29,Government,Government & Defence,1 Satellite Way,Oslo,NO,10028,Partner,438800000.0,500,2022-01-01
ACC000030,Andes Community Net 30,30,Enterprise/Community,Enterprise & Community,1 Satellite Way,Lima,PE,10029,Customer,329440000.0,1200,2022-01-01
